iter,eval_time,sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,prune_time
2,31632.277,1.0,5,DELETE,0.2,True,,,False,-1,1,1,0,0.0,6323.674999999999,0,0.0
2,225.048,1.0,3,DELETE,0.05,True,,,False,-1,1,1,0,0.0,1505.172,0,0.0
2,16138.98,1.0,5,DELETE,0.1,True,,,False,-1,1,1,0,0.0,6288.889999999999,0,0.0
2,474.136,1.0,3,DELETE,0.2,True,,,False,-1,1,1,0,0.0,1495.756,0,0.0
2,198.552,1.0,7,DELETE,0.002,True,,,False,-1,1,1,0,0.0,4134.837,0,0.0
2,157.831,1.0,3,DELETE,0.02,True,,,False,-1,1,1,0,0.0,1499.981,0,0.0
2,273.156,1.0,10,DELETE,0.5,True,,,False,-1,1,1,0,0.0,510.272,0,0.0
2,344.211,1.0,7,DELETE,0.005,True,,,False,-1,1,1,0,0.0,4167.949,0,0.0
2,8154.722,1.0,9,DELETE,0.02,True,,,False,-1,1,1,0,0.0,33693.489,0,0.0
2,148.573,1.0,7,DELETE,0.001,True,,,False,-1,1,1,0,0.0,4154.432,0,0.0
2,53.707,1.0,12,DELETE,0.05,True,,,False,-1,1,1,0,0.0,508.53700000000003,0,0.0
2,69.38,1.0,1,DELETE,0.1,True,,,False,-1,1,1,0,0.0,719.703,0,0.0
2,98040.029,1.0,9,DELETE,0.3,True,,,False,-1,1,1,0,0.0,33646.346999999994,0,0.0
2,26.801,1.0,12,DELETE,0.005,True,,,False,-1,1,1,0,0.0,516.467,0,0.0
2,8344.455,1.0,5,DELETE,0.05,True,,,False,-1,1,1,0,0.0,6306.402,0,0.0
2,64.629,1.0,10,DELETE,0.05,True,,,False,-1,1,1,0,0.0,511.91499999999996,0,0.0
2,6775.245,1.0,7,DELETE,0.2,True,,,False,-1,1,1,0,0.0,4109.491000000001,0,0.0
2,127.013,1.0,12,DELETE,0.3,True,,,False,-1,1,1,0,0.0,507.94999999999993,0,0.0
2,1864.42,1.0,5,DELETE,0.01,True,,,False,-1,1,1,0,0.0,6291.906,0,0.0
2,105.63,1.0,3,DELETE,0.002,True,,,False,-1,1,1,0,0.0,1525.2399999999998,0,0.0
2,317.367,1.0,3,DELETE,0.1,True,,,False,-1,1,1,0,0.0,1502.531,0,0.0
2,0.283,1.0,1,DELETE,0.001,True,,,False,-1,1,1,0,0.0,744.222,0,0.0
2,181.303,1.0,12,DELETE,0.5,True,,,False,-1,1,1,0,0.0,508.38199999999995,0,0.0
2,31.435,1.0,10,DELETE,0.01,True,,,False,-1,1,1,0,0.0,514.1170000000001,0,0.0
2,30.851,1.0,12,DELETE,0.01,True,,,False,-1,1,1,0,0.0,513.485,0,0.0
