iter,sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage,code_gen_time,data_time
2,1.0,3,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.034532,0.000824,0.000623,1.06054,9.4e-05,0.013159,0.028016,0.3356177806854248,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.00018
1,1.0,3,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.035305,0.000832,0.000605,1.053018,9.2e-05,0.013036,0.027997,0.3274097442626953,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.00017
2,1.0,3,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.035465,0.000814,0.000613,1.054068,9.5e-05,0.013037,0.028075,0.33028745651245117,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000168
1,1.0,3,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.034655,0.000806,0.000588,1.061518,0.000149,0.013131,0.028005,0.32900381088256836,,4237529,132083,16.16489,0.503857,false,2e-05,0.000169
2,1.0,3,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.034898,0.000837,0.000592,1.051372,9.8e-05,0.013191,0.02796,0.3282334804534912,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000179
1,1.0,3,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.035155,0.000796,0.000589,1.097066,0.000127,0.013019,0.027824,0.3289961814880371,,4237529,132083,16.16489,0.503857,false,1.9e-05,0.000177
2,1.0,3,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.034063,0.000845,0.00062,1.071718,0.000119,0.013055,0.027942,0.32918500900268555,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.00019
1,1.0,5,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.020266,0.000345,0.000346,1.065422,4.4e-05,0.010403,0.032802,0.3691847324371338,,6693785,60951,25.534763,0.23251,false,2.2e-05,5e-05
2,1.0,5,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.020681,0.000353,0.000345,1.081018,4.2e-05,0.01046,0.033017,0.3704080581665039,,6693785,60951,25.534763,0.23251,false,2.2e-05,4.5e-05
1,1.0,5,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.019928,0.000344,0.000342,1.11423,4.3e-05,0.010472,0.032763,0.36926770210266113,,6693785,60951,25.534763,0.23251,false,2.1e-05,4.7e-05
2,1.0,5,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.020876,0.000353,0.000355,1.060784,4.2e-05,0.010529,0.03358,0.36602091789245605,,6693785,60951,25.534763,0.23251,false,2.2e-05,4.7e-05
1,1.0,5,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.020028,0.000357,0.000355,1.063209,4.3e-05,0.010414,0.032909,0.36995410919189453,,6693785,60951,25.534763,0.23251,false,2.1e-05,4.9e-05
2,1.0,5,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.018841,0.000349,0.000331,1.062551,4.2e-05,0.010411,0.032479,0.3688619136810303,,6693785,60951,25.534763,0.23251,false,2.1e-05,4.6e-05
1,1.0,5,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.019524,0.000357,0.000355,1.104866,4.3e-05,0.010423,0.032699,0.3710167407989502,,6693785,60951,25.534763,0.23251,false,2.1e-05,4.8e-05
2,1.0,5,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.019801,0.000353,0.000318,1.069453,4.4e-05,0.0104,0.032467,0.372638463973999,,6693785,60951,25.534763,0.23251,false,2.1e-05,4.5e-05
1,1.0,5,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.020044,0.000349,0.000332,1.059818,4.4e-05,0.010438,0.032658,0.370133638381958,,6693785,60951,25.534763,0.23251,false,2.7e-05,4.6e-05
2,1.0,5,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.020343,0.000349,0.00035,1.061628,4.4e-05,0.010441,0.033104,0.36934876441955566,,6693785,60951,25.534763,0.23251,false,2.1e-05,4.6e-05
1,1.0,5,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.020658,0.000353,0.000344,1.161672,6.6e-05,0.0105,0.032563,0.37456417083740234,,6693785,60951,25.534763,0.23251,false,2.2e-05,5.2e-05
2,1.0,5,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.019468,0.000346,0.00033,1.061385,4.2e-05,0.010417,0.032749,0.3679683208465576,,6693785,60951,25.534763,0.23251,false,2.2e-05,4.7e-05
1,1.0,5,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.019755,0.000351,0.000324,1.071027,4.2e-05,0.010464,0.032296,0.36650657653808594,,6693785,60951,25.534763,0.23251,false,2.2e-05,6.1e-05
2,1.0,5,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.019655,0.000353,0.000339,1.066782,4.3e-05,0.010495,0.032345,0.3705790042877197,,6693785,60951,25.534763,0.23251,false,2.1e-05,4.6e-05
1,1.0,5,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.019634,0.000351,0.000323,1.060907,4.4e-05,0.010417,0.032491,0.36936521530151367,,6693785,60951,25.534763,0.23251,false,2.9e-05,4.5e-05
2,1.0,5,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.019255,0.000346,0.00033,1.066241,4.3e-05,0.010453,0.032757,0.3667633533477783,,6693785,60951,25.534763,0.23251,false,2.2e-05,4.5e-05
1,1.0,5,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.019754,0.000342,0.000318,1.061464,4.4e-05,0.010462,0.032268,0.37021470069885254,,6693785,60951,25.534763,0.23251,false,2.1e-05,4.8e-05
2,1.0,5,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.019948,0.000351,0.000368,1.070313,4.4e-05,0.010472,0.032755,0.3698713779449463,,6693785,60951,25.534763,0.23251,false,2e-05,4.4e-05
1,1.0,5,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.019974,0.000354,0.00031,1.063593,4.3e-05,0.010472,0.032728,0.3721449375152588,,6693785,60951,25.534763,0.23251,false,2.2e-05,4.5e-05
2,1.0,5,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.019804,0.000349,0.000366,1.169835,4.3e-05,0.010813,0.032761,0.3699009418487549,,6693785,60951,25.534763,0.23251,false,2.3e-05,4.8e-05
1,1.0,5,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.020038,0.000349,0.000344,1.061102,4.5e-05,0.010489,0.032718,0.3751668930053711,,6693785,60951,25.534763,0.23251,false,2.2e-05,6.4e-05
2,1.0,5,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.020293,0.000363,0.000331,1.067436,4.3e-05,0.01055,0.032379,0.3690505027770996,,6693785,60951,25.534763,0.23251,false,2.2e-05,4.7e-05
1,1.0,7,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.494521,0.000271,0.000412,1.06314,3.7e-05,0.009179,0.06434,0.983421802520752,,8817246,50002,33.635124,0.190742,false,2.7e-05,0.001126
2,1.0,7,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.516934,0.000265,0.00152,1.060994,4.6e-05,0.009134,0.064034,0.9793603420257568,,8817246,50002,33.635124,0.190742,false,2.4e-05,4.1e-05
1,1.0,7,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.507374,0.000262,0.000455,1.060294,4.6e-05,0.009126,0.063742,0.9903168678283691,,8817246,50002,33.635124,0.190742,false,2.7e-05,0.001155
2,1.0,7,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.506493,0.000265,0.000463,1.061567,3.6e-05,0.009164,0.063792,0.98036789894104,,8817246,50002,33.635124,0.190742,false,2.6e-05,0.001101
1,1.0,7,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.502545,0.000265,0.001265,1.059829,4.3e-05,0.00922,0.064099,0.9814093112945557,,8817246,50002,33.635124,0.190742,false,2.5e-05,0.000318
2,1.0,7,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.503493,0.000263,0.00153,1.060306,3.6e-05,0.00909,0.063709,0.9837005138397217,,8817246,50002,33.635124,0.190742,false,2.4e-05,4e-05
1,1.0,7,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.528493,0.000284,0.001065,1.137436,3.9e-05,0.009091,0.063953,0.9811904430389404,,8817246,50002,33.635124,0.190742,false,2.6e-05,0.00052
2,1.0,7,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.498763,0.000272,0.00085,1.060427,3.9e-05,0.009128,0.063607,0.9912099838256836,,8817246,50002,33.635124,0.190742,false,2.5e-05,0.000739
