sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage
1.0,9,DENSE_DELETE,0.1,false,false,true,true,2,1,4,5e-06,0.031587,0.00495,1.224102,0.000626,0.346006,0.061381,1.0818140506744385,,9575428,1734061,36.527359,6.614918,false
1.0,10,DENSE_DELETE,0.1,false,false,true,true,2,1,4,4e-06,0.009809,0.001796,1.201971,0.001003,0.074341,0.073753,0.8284938335418701,,2122441,518130,8.09647,1.976509,true
1.0,10,DENSE_DELETE,0.1,false,false,true,true,2,1,4,4e-06,0.009288,0.001819,1.198335,0.000666,0.072812,0.044844,0.8343126773834229,,2122441,518130,8.09647,1.976509,false
1.0,12,DENSE_DELETE,0.1,false,false,true,true,2,1,4,3e-06,0.002652,0.000845,1.195963,0.000133,0.011557,0.014124,0.27217721939086914,,2478737,153051,9.455631,0.583843,true
1.0,12,DENSE_DELETE,0.1,false,false,true,true,2,1,4,3e-06,0.002975,0.00092,1.182485,0.000133,0.011524,0.013921,0.27144527435302734,,2478737,153051,9.455631,0.583843,false
1.0,1,DENSE_DELETE,0.1,false,false,true,false,2,1,4,2e-06,0.284828,0.344908,1.251677,0.035133,0.0,0.078663,1.7552635669708252,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,false,2,1,4,3e-06,0.296727,0.345055,1.233442,0.017138,0.0,0.044515,1.7418289184570312,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,false,2,1,4,4e-06,0.365112,0.012723,1.248725,0.00269,0.0,0.038241,0.37444138526916504,,4237529,4237529,16.16489,16.16489,true
1.0,3,DENSE_DELETE,0.1,false,false,true,false,2,1,4,4e-06,0.343219,0.012683,1.243617,0.002613,0.0,0.02827,0.3800978660583496,,4237529,4237529,16.16489,16.16489,false
1.0,5,DENSE_DELETE,0.1,false,false,true,false,2,1,4,5e-06,0.369272,0.019603,1.340513,0.004056,0.0,0.033674,0.39959192276000977,,6693785,6693785,25.534763,25.534763,true
1.0,5,DENSE_DELETE,0.1,false,false,true,false,2,1,4,5e-06,0.349934,0.01954,1.338882,0.004006,0.0,0.03319,0.39971041679382324,,6693785,6693785,25.534763,25.534763,false
1.0,7,DENSE_DELETE,0.1,false,false,true,false,2,1,4,5e-06,0.356787,0.01258,1.333094,0.00599,0.0,0.067614,1.5568785667419434,,8817246,8817246,33.635124,33.635124,true
1.0,7,DENSE_DELETE,0.1,false,false,true,false,2,1,4,6e-06,0.366217,0.01231,1.325253,0.006483,0.0,0.06809,1.5433919429779053,,8817246,8817246,33.635124,33.635124,false
1.0,9,DENSE_DELETE,0.1,false,false,true,false,2,1,4,6e-06,0.390836,0.028842,1.339099,0.00628,0.0,0.062664,1.078575849533081,,9575428,9575428,36.527359,36.527359,true
1.0,9,DENSE_DELETE,0.1,false,false,true,false,2,1,4,4e-06,0.391606,0.02897,1.324825,0.006098,0.0,0.061686,1.0804927349090576,,9575428,9575428,36.527359,36.527359,false
1.0,10,DENSE_DELETE,0.1,false,false,true,false,2,1,4,4e-06,0.351788,0.006465,1.262796,0.002234,0.0,0.072949,0.8297603130340576,,2122441,2122441,8.09647,8.09647,true
1.0,10,DENSE_DELETE,0.1,false,false,true,false,2,1,4,4e-06,0.395998,0.006337,1.262628,0.00152,0.0,0.044737,0.838850736618042,,2122441,2122441,8.09647,8.09647,false
1.0,12,DENSE_DELETE,0.1,false,false,true,false,2,1,4,2e-06,0.373526,0.007995,1.240194,0.001751,0.0,0.014112,0.2720794677734375,,2478737,2478737,9.455631,9.455631,true
1.0,12,DENSE_DELETE,0.1,false,false,true,false,2,1,4,2e-06,0.353044,0.008007,1.233153,0.001646,0.0,0.01409,0.2727055549621582,,2478737,2478737,9.455631,9.455631,false
1.0,1,DENSE_DELETE,0.1,false,false,true,true,4,1,4,2e-06,0.370321,0.345168,1.240149,0.017754,0.0,0.079227,1.732332468032837,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,true,4,1,4,2e-06,0.355272,0.345183,1.22606,0.010527,0.0,0.044454,1.7284786701202393,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,true,4,1,4,4e-06,0.003425,0.000903,1.191947,0.000492,0.013236,0.038058,0.3715856075286865,,4237529,132083,16.16489,0.503857,true
1.0,3,DENSE_DELETE,0.1,false,false,true,true,4,1,4,3e-06,0.003143,0.000867,1.187237,0.000362,0.013083,0.02828,0.3712482452392578,,4237529,132083,16.16489,0.503857,false
1.0,5,DENSE_DELETE,0.1,false,false,true,true,4,1,4,5e-06,0.001585,0.000454,1.238319,0.000152,0.01056,0.033347,0.4050257205963135,,6693785,60951,25.534763,0.23251,true
1.0,5,DENSE_DELETE,0.1,false,false,true,true,4,1,4,5e-06,0.001385,0.000477,1.231994,0.000179,0.01062,0.033464,0.4044051170349121,,6693785,60951,25.534763,0.23251,false
1.0,7,DENSE_DELETE,0.1,false,false,true,true,4,1,4,6e-06,0.001036,0.001814,1.230563,0.00016,0.009257,0.067947,1.5301175117492676,,8817246,50002,33.635124,0.190742,true
1.0,7,DENSE_DELETE,0.1,false,false,true,true,4,1,4,6e-06,0.00099,0.001816,1.225264,0.000154,0.009301,0.0676,1.5307393074035645,,8817246,50002,33.635124,0.190742,false
1.0,9,DENSE_DELETE,0.1,false,false,true,true,4,1,4,6e-06,0.04566,0.004951,1.229184,0.000813,0.340517,0.063863,1.0808463096618652,,9575428,1734061,36.527359,6.614918,true
1.0,9,DENSE_DELETE,0.1,false,false,true,true,4,1,4,5e-06,0.041414,0.004952,1.228023,0.000427,0.343531,0.061641,1.0811591148376465,,9575428,1734061,36.527359,6.614918,false
1.0,10,DENSE_DELETE,0.1,false,false,true,true,4,1,4,3e-06,0.01339,0.001831,1.212883,0.001307,0.074145,0.073502,0.840146541595459,,2122441,518130,8.09647,1.976509,true
1.0,10,DENSE_DELETE,0.1,false,false,true,true,4,1,4,4e-06,0.012652,0.00183,1.201696,0.000972,0.073988,0.044508,0.8420803546905518,,2122441,518130,8.09647,1.976509,false
1.0,12,DENSE_DELETE,0.1,false,false,true,true,4,1,4,2e-06,0.00421,0.000876,1.199242,0.000223,0.011562,0.014158,0.27371931076049805,,2478737,153051,9.455631,0.583843,true
1.0,12,DENSE_DELETE,0.1,false,false,true,true,4,1,4,2e-06,0.004216,0.000853,1.198216,0.000208,0.011502,0.014172,0.2708241939544678,,2478737,153051,9.455631,0.583843,false
1.0,1,DENSE_DELETE,0.1,false,false,true,false,4,1,4,3e-06,0.398162,0.348945,1.258676,0.018482,0.0,0.07969,1.7432668209075928,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,false,4,1,4,3e-06,0.373848,0.344806,1.249406,0.016263,0.0,0.044611,1.7344048023223877,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,false,4,1,4,4e-06,0.485416,0.012785,1.257647,0.001611,0.0,0.0375,0.37445735931396484,,4237529,4237529,16.16489,16.16489,true
1.0,3,DENSE_DELETE,0.1,false,false,true,false,4,1,4,4e-06,0.487346,0.012709,1.239586,0.001578,0.0,0.028182,0.3764650821685791,,4237529,4237529,16.16489,16.16489,false
1.0,5,DENSE_DELETE,0.1,false,false,true,false,4,1,4,6e-06,0.490121,0.019562,1.343059,0.002287,0.0,0.032951,0.40003037452697754,,6693785,6693785,25.534763,25.534763,true
1.0,5,DENSE_DELETE,0.1,false,false,true,false,4,1,4,6e-06,0.478962,0.019525,1.340972,0.002237,0.0,0.033009,0.3981752395629883,,6693785,6693785,25.534763,25.534763,false
1.0,7,DENSE_DELETE,0.1,false,false,true,false,4,1,4,6e-06,0.451425,0.012323,1.339664,0.003305,0.0,0.06779,1.532308578491211,,8817246,8817246,33.635124,33.635124,true
1.0,7,DENSE_DELETE,0.1,false,false,true,false,4,1,4,7e-06,0.481007,0.012332,1.328002,0.003234,0.0,0.068766,1.5381824970245361,,8817246,8817246,33.635124,33.635124,false
1.0,9,DENSE_DELETE,0.1,false,false,true,false,4,1,4,6e-06,0.58937,0.028902,1.338754,0.003448,0.0,0.063046,1.0751638412475586,,9575428,9575428,36.527359,36.527359,true
1.0,9,DENSE_DELETE,0.1,false,false,true,false,4,1,4,5e-06,0.535394,0.029217,1.32259,0.003247,0.0,0.060983,1.0737848281860352,,9575428,9575428,36.527359,36.527359,false
1.0,10,DENSE_DELETE,0.1,false,false,true,false,4,1,4,3e-06,0.490414,0.006497,1.276813,0.001831,0.0,0.072964,0.8335537910461426,,2122441,2122441,8.09647,8.09647,true
1.0,10,DENSE_DELETE,0.1,false,false,true,false,4,1,4,4e-06,0.483556,0.006344,1.258555,0.001338,0.0,0.045952,0.8330016136169434,,2122441,2122441,8.09647,8.09647,false
1.0,12,DENSE_DELETE,0.1,false,false,true,false,4,1,4,3e-06,0.493106,0.008009,1.243398,0.001074,0.0,0.014108,0.2717266082763672,,2478737,2478737,9.455631,9.455631,true
1.0,12,DENSE_DELETE,0.1,false,false,true,false,4,1,4,2e-06,0.505039,0.007993,1.230427,0.001168,0.0,0.014079,0.27088022232055664,,2478737,2478737,9.455631,9.455631,false
1.0,1,DENSE_DELETE,0.1,false,false,true,true,8,1,4,2e-06,0.883191,0.344231,1.241914,0.01693,0.0,0.07962,1.7399842739105225,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,true,8,1,4,2e-06,0.564115,0.345913,1.227138,0.018208,0.0,0.045265,1.7315740585327148,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,true,8,1,4,3e-06,0.007344,0.000925,1.20242,0.000625,0.013119,0.038171,0.3751189708709717,,4237529,132083,16.16489,0.503857,true
1.0,3,DENSE_DELETE,0.1,false,false,true,true,8,1,4,3e-06,0.008467,0.000901,1.18751,0.000592,0.013219,0.028441,0.3746194839477539,,4237529,132083,16.16489,0.503857,false
1.0,5,DENSE_DELETE,0.1,false,false,true,true,8,1,4,6e-06,0.003125,0.000459,1.243299,0.000283,0.010566,0.033095,0.4003028869628906,,6693785,60951,25.534763,0.23251,true
1.0,5,DENSE_DELETE,0.1,false,false,true,true,8,1,4,5e-06,0.002891,0.000447,1.225597,0.000325,0.010578,0.033167,0.39868807792663574,,6693785,60951,25.534763,0.23251,false
1.0,7,DENSE_DELETE,0.1,false,false,true,true,8,1,4,5e-06,0.002213,0.001844,1.238824,0.000345,0.009312,0.067616,1.547957181930542,,8817246,50002,33.635124,0.190742,true
1.0,7,DENSE_DELETE,0.1,false,false,true,true,8,1,4,6e-06,0.002138,0.0018,1.220865,0.000382,0.009313,0.067581,1.5372309684753418,,8817246,50002,33.635124,0.190742,false
1.0,9,DENSE_DELETE,0.1,false,false,true,true,8,1,4,5e-06,0.099573,0.00495,1.228632,0.00068,0.341019,0.062422,1.079951524734497,,9575428,1734061,36.527359,6.614918,true
1.0,9,DENSE_DELETE,0.1,false,false,true,true,8,1,4,5e-06,0.102289,0.004992,1.224132,0.000517,0.344424,0.061325,1.0828588008880615,,9575428,1734061,36.527359,6.614918,false
1.0,10,DENSE_DELETE,0.1,false,false,true,true,8,1,4,3e-06,0.029596,0.001932,1.209044,0.001389,0.073517,0.073493,0.8321189880371094,,2122441,518130,8.09647,1.976509,true
1.0,10,DENSE_DELETE,0.1,false,false,true,true,8,1,4,4e-06,0.032055,0.001898,1.201626,0.001184,0.073538,0.044406,0.8351035118103027,,2122441,518130,8.09647,1.976509,false
1.0,12,DENSE_DELETE,0.1,false,false,true,true,8,1,4,3e-06,0.009439,0.000861,1.189945,0.000314,0.0115,0.014046,0.2716207504272461,,2478737,153051,9.455631,0.583843,true
1.0,12,DENSE_DELETE,0.1,false,false,true,true,8,1,4,2e-06,0.00845,0.000898,1.193456,0.000367,0.011655,0.013859,0.2709228992462158,,2478737,153051,9.455631,0.583843,false
1.0,1,DENSE_DELETE,0.1,false,false,true,false,8,1,4,3e-06,0.926827,0.34357,1.246143,0.017286,0.0,0.078359,1.7356679439544678,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,false,8,1,4,2e-06,0.947878,0.344287,1.242603,0.008547,0.0,0.044163,1.7364954948425293,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,false,8,1,4,3e-06,1.136249,0.012731,1.263148,0.001362,0.0,0.037845,0.37636232376098633,,4237529,4237529,16.16489,16.16489,true
1.0,3,DENSE_DELETE,0.1,false,false,true,false,8,1,4,4e-06,1.156583,0.012824,1.254139,0.001249,0.0,0.028576,0.3753650188446045,,4237529,4237529,16.16489,16.16489,false
1.0,5,DENSE_DELETE,0.1,false,false,true,false,8,1,4,4e-06,1.087473,0.019569,1.337143,0.001529,0.0,0.033215,0.399583101272583,,6693785,6693785,25.534763,25.534763,true
1.0,5,DENSE_DELETE,0.1,false,false,true,false,8,1,4,5e-06,1.207641,0.01965,1.32839,0.001634,0.0,0.033486,0.403658390045166,,6693785,6693785,25.534763,25.534763,false
1.0,7,DENSE_DELETE,0.1,false,false,true,false,8,1,4,5e-06,1.160548,0.012314,1.339064,0.002112,0.0,0.068174,1.5181419849395752,,8817246,8817246,33.635124,33.635124,true
1.0,7,DENSE_DELETE,0.1,false,false,true,false,8,1,4,6e-06,1.116438,0.012295,1.328695,0.002046,0.0,0.067403,1.5342793464660645,,8817246,8817246,33.635124,33.635124,false
1.0,9,DENSE_DELETE,0.1,false,false,true,false,8,1,4,5e-06,1.274439,0.029027,1.339249,0.002233,0.0,0.062799,1.0693910121917725,,9575428,9575428,36.527359,36.527359,true
